dt,hash,ts,title
2017-01-25 20:08:08.105620,12122f5722d05e0299ca6e21d253350e,1485349687,"Significant Digits For Wednesday, Jan. 25, 2017"
2017-01-25 21:08:08.105620,3ca7cd4d669472757ca0eed0adc1fa8b,1485349687,Chat: How’s Our Democracy Doing?
2017-01-26 09:08:08.105620,5d4ed21b14d512c0f82f13db748c824b,1485349687,Trump Finds The Weak Spot In Obama’s Protections For Scientists
2017-01-26 13:08:08.105620,acd67003b94f8149e40f0fcceef054d9,1485349687,The Biggest Oscar Snubs And Surprises
2017-01-26 14:08:08.105620,55a488dc479cdb47c2234380e2645e89,1485349687,"The Boston Bruins Look Good On Paper, So Why Do They Suck?"
2017-01-26 21:08:08.105620,5bf9a202950448394534b6ac1c509860,1485349687,How Our Oscars Tracker Works
2017-01-27 06:08:08.105620,00c94e046279871b639454bb0e3ad6ba,1485349687,"Significant Digits For Tuesday, Jan. 24, 2017"
2017-01-27 15:08:08.105620,c4acd0e2e3f9c6c6e15c80c09d7628ab,1485349687,Politics Podcast: The Beginning Of The Trump Presidency
2017-01-27 20:08:08.105620,3273fcea4803b20e530c20ed63999281,1485349687,The Patriots Won With Less Talent Than Usual
2017-01-28 03:08:08.105620,0558edd81a386947ad8245232c391a0b,1485349687,"Three Days Into Trump’s Presidency, 45 Percent Of Americans Disapprove Of His Performance"
2017-01-28 12:08:08.105620,df82e5f6dfad01597f344e6dffe9ca45,1485349687,Matt Ryan Is No Fluke
2017-01-28 16:08:08.105620,bfc0485e93754c91cf5b47d7b483f5fa,1485349687,Higher Rates Of Hate Crimes Are Tied To Income Inequality
2017-01-28 23:08:08.105620,d1f66bac612f26d88e9b2c17b000b42c,1485349687,"Significant Digits For Monday, Jan. 23, 2017"
2017-01-29 04:08:08.105620,5a40b9b44021d12a983f91a92fc91e9b,1485349687,The Long March Ahead For Democrats
2017-01-29 08:08:08.105620,7cbde96fd64695f9a2b7f93dcf4e469b,1485349687,The Invisible Undecided Voter
2017-01-29 17:08:08.105620,0d4263ffb58b286303cbbc5ecc7a9735,1485349687,It Wasn’t Clinton’s Election To Lose
2017-01-29 18:08:08.105620,c374e130130c442c8f403f687b5e7978,1485349687,The Electoral College Blind Spot
2017-01-29 21:08:08.105620,b219db19176cacf6f982500851dd4974,1485349687,Trump’s Executive Order On Obamacare Means Everything And Does Nothing
2017-01-30 03:08:08.105620,de3c7871e66c42bb27fb5007bc9e269d,1485349687,How Unconscious Sexism Could Help Explain Trump’s Win
2017-01-30 14:08:08.105620,6c8cb5129f96b350f7cf2b6000fece3c,1485349687,How To Win With Carmelo Anthony
